Date,Barnyard,Surface,Frame,Sub_frame,Timing,Days_elapsed,Temp,CO2_mgC,CH4_mgC,NH3_ugN,N2O_ugN,CO2_mg,CH4_mg,NH3_mg,N2O_mg,CO2_eq
2011-05-19,7,BARK,B,A,BEFORE,205,15.8,6.99E+02,2.99E-02,NA,7.16E+01,2.56E+03,3.98E-02,NA,1.12E-01,NA
2011-05-19,8,BARK,A,A,BEFORE,205,16.2,6.12E+02,7.14E-02,NA,1.31E+02,2.24E+03,9.52E-02,NA,2.06E-01,NA
2011-05-19,8,BARK,B,A,BEFORE,205,17.1,9.97E+02,7.48E-02,NA,1.12E+02,3.66E+03,9.97E-02,NA,1.76E-01,NA
2011-05-19,9,BARK,A,A,BEFORE,205,16.9,3.42E+02,4.98E-02,NA,NA,1.25E+03,6.65E-02,NA,NA,NA
2011-05-19,9,BARK,B,A,BEFORE,205,17.8,6.51E+02,1.06E-01,NA,2.79E+02,2.39E+03,1.41E-01,NA,4.39E-01,NA
2011-05-23,1,SOIL,C,M,BEFORE,205,20.7,4.08E+02,3.27E+00,NA,5.00E+03,1.50E+03,4.35E+00,NA,7.86E+00,NA
2011-05-23,1,SOIL,D,M,BEFORE,205,20.8,4.79E+02,4.62E-02,NA,1.39E+04,1.76E+03,6.16E-02,NA,2.18E+01,NA
2011-05-23,2,SOIL,C,M,BEFORE,205,19.7,2.21E+02,8.91E-01,1.55E+02,1.31E+03,8.10E+02,1.19E+00,1.88E-01,2.06E+00,1.46E+03
2011-05-23,2,SOIL,D,M,BEFORE,205,20.4,3.92E+02,1.40E+01,NA,1.04E+04,1.44E+03,1.87E+01,NA,1.63E+01,NA
2011-05-23,3,SOIL,C,M,BEFORE,205,19.0,6.94E+02,9.92E+00,1.32E+02,1.42E+04,2.54E+03,1.32E+01,1.60E-01,2.24E+01,9.54E+03
2011-05-23,3,SOIL,D,M,BEFORE,205,19.6,7.49E+02,1.78E+01,2.66E+01,1.24E+04,2.75E+03,2.37E+01,3.23E-02,1.95E+01,9.15E+03
2011-05-23,4,SAND,C,M,BEFORE,205,22.6,2.34E+02,7.18E-02,NA,2.71E+03,8.57E+02,9.57E-02,NA,4.26E+00,NA
2011-05-23,4,SAND,D,M,BEFORE,205,21.1,4.01E+02,9.82E-02,NA,4.48E+03,1.47E+03,1.31E-01,NA,7.04E+00,NA
2011-05-23,5,SAND,C,M,BEFORE,205,19.2,2.78E+02,3.83E-02,NA,2.23E+03,1.02E+03,5.11E-02,NA,3.50E+00,NA
2011-05-23,5,SAND,D,M,BEFORE,205,19.2,4.65E+02,1.43E+00,NA,1.06E+04,1.71E+03,1.90E+00,NA,1.67E+01,NA
2011-05-23,6,SAND,C,M,BEFORE,205,19.3,3.13E+02,3.66E-02,NA,1.66E+03,1.15E+03,4.88E-02,NA,2.61E+00,NA
2011-05-23,6,SAND,D,M,BEFORE,205,18.9,1.98E+02,2.46E-01,NA,2.29E+03,7.25E+02,3.29E-01,NA,3.60E+00,NA
2011-05-23,7,BARK,C,M,BEFORE,205,20.0,1.42E+03,9.75E-01,NA,1.52E+02,5.21E+03,1.30E+00,NA,2.39E-01,NA
2011-05-23,7,BARK,C,M,BEFORE,205,20.9,1.80E+03,8.26E-01,NA,6.62E+01,6.59E+03,1.10E+00,NA,1.04E-01,NA
2011-05-23,7,BARK,D,M,BEFORE,205,21.9,1.08E+03,1.77E-01,NA,6.70E+01,3.94E+03,2.36E-01,NA,1.05E-01,NA
2011-05-23,8,BARK,C,M,BEFORE,205,20.7,1.78E+03,3.94E-01,NA,3.90E+02,6.52E+03,5.26E-01,NA,6.13E-01,NA
2011-05-23,8,BARK,D,M,BEFORE,205,20.2,1.07E+03,2.31E-01,NA,1.10E+01,3.92E+03,3.08E-01,NA,1.73E-02,NA
2011-05-23,9,BARK,C,M,BEFORE,205,18.7,5.25E+02,1.03E-01,NA,2.31E+00,1.93E+03,1.38E-01,NA,3.64E-03,NA
2011-05-23,9,BARK,D,M,BEFORE,205,19.0,6.09E+02,1.55E-01,NA,NA,2.23E+03,2.07E-01,NA,NA,NA
2011-06-07,1,SOIL,A,M,AFTER,0,32.7,NA,2.50E+00,2.70E+03,1.09E+03,NA,3.34E+00,3.27E+00,1.71E+00,NA
2011-06-07,2,SOIL,B,M,AFTER,0,33.2,NA,NA,6.96E+03,1.32E+02,NA,NA,8.45E+00,2.07E-01,NA
2011-06-07,3,SOIL,A,M,AFTER,0,,NA,NA,3.09E+03,NA,NA,NA,3.75E+00,NA,NA
2011-06-07,3,SOIL,B,M,AFTER,0,33.6,NA,1.93E+01,1.23E+03,2.55E+02,NA,2.57E+01,1.49E+00,4.01E-01,NA
2011-06-07,4,SAND,A,M,AFTER,0,32.7,NA,2.95E-01,1.35E+03,8.12E+02,NA,3.94E-01,1.64E+00,1.28E+00,NA
2011-06-07,5,SAND,A,M,AFTER,0,33.3,NA,1.35E+01,1.81E+04,9.04E+02,NA,1.80E+01,2.20E+01,1.42E+00,NA
2011-06-07,5,SAND,B,M,AFTER,0,33.4,NA,7.44E-01,9.85E+02,7.40E+02,NA,9.93E-01,1.20E+00,1.16E+00,NA
2011-06-07,6,SAND,A,M,AFTER,0,33.3,NA,8.83E-01,3.24E+03,3.40E+03,NA,1.18E+00,3.94E+00,5.34E+00,NA
2011-06-07,7,BARK,A,M,AFTER,0,33.2,NA,1.47E+01,1.36E+03,4.59E+03,NA,1.96E+01,1.65E+00,7.21E+00,NA
2011-06-07,7,BARK,B,M,AFTER,0,33.4,NA,1.05E+01,1.04E+03,1.40E+03,NA,1.40E+01,1.26E+00,2.20E+00,NA
2011-06-07,8,BARK,B,M,AFTER,0,33.5,NA,1.23E+01,1.76E+03,8.52E+03,NA,1.65E+01,2.14E+00,1.34E+01,NA
2011-06-07,9,BARK,A,M,AFTER,0,33.0,NA,6.65E+00,3.32E+02,9.90E+03,NA,8.87E+00,4.03E-01,1.56E+01,NA
2011-06-07,9,BARK,B,M,AFTER,0,33.0,NA,7.79E+00,3.16E+02,8.86E+02,NA,1.04E+01,3.84E-01,1.39E+00,NA
2011-06-08,1,SOIL,A,A,AFTER,1,26.0,7.52E+01,1.72E+00,5.28E+02,6.43E+02,2.76E+02,2.29E+00,6.41E-01,1.01E+00,6.36E+02
2011-06-08,1,SOIL,B,A,AFTER,1,26.0,1.04E+02,4.73E+00,2.39E+03,1.97E+02,3.80E+02,6.30E+00,2.90E+00,3.10E-01,6.39E+02
2011-06-08,3,SOIL,A,A,AFTER,1,26.7,1.04E+02,1.39E+01,5.37E+02,1.68E+02,3.80E+02,1.86E+01,6.52E-01,2.63E-01,9.25E+02
2011-06-08,4,SAND,A,A,AFTER,1,25.9,2.75E+02,1.58E-01,NA,3.98E+02,1.01E+03,2.10E-01,NA,6.25E-01,NA
2011-06-08,4,SAND,B,A,AFTER,1,26.0,2.74E+02,4.07E-01,3.68E+02,6.87E+02,1.00E+03,5.43E-01,4.46E-01,1.08E+00,1.34E+03
2011-06-08,5,SAND,A,A,AFTER,1,26.5,3.23E+02,1.23E+01,5.14E+03,5.99E+02,1.18E+03,1.64E+01,6.24E+00,9.41E-01,1.89E+03
2011-06-08,7,BARK,A,A,AFTER,1,25.9,6.48E+02,1.58E+01,NA,2.08E+03,2.38E+03,2.11E+01,NA,3.26E+00,NA
2011-06-08,7,BARK,B,A,AFTER,1,25.9,2.62E+02,5.36E+00,NA,1.61E+02,9.61E+02,7.15E+00,NA,2.53E-01,NA
2011-06-08,8,BARK,A,A,AFTER,1,26.7,3.69E+02,1.54E+01,NA,4.22E+03,1.35E+03,2.05E+01,NA,6.64E+00,NA
2011-06-08,8,BARK,B,A,AFTER,1,26.7,5.96E+02,1.99E+01,NA,1.36E+03,2.18E+03,2.65E+01,NA,2.14E+00,NA
2011-06-08,9,BARK,A,A,AFTER,1,28.6,9.02E+02,1.19E+01,NA,5.57E+03,3.31E+03,1.58E+01,NA,8.75E+00,NA
2011-06-08,9,BARK,B,A,AFTER,1,28.6,8.59E+02,1.07E+01,NA,2.60E+01,3.15E+03,1.42E+01,NA,4.09E-02,NA
2011-06-09,1,SOIL,D,M,AFTER,2,15.0,7.66E+01,1.47E+01,NA,2.75E+02,2.81E+02,1.95E+01,NA,4.32E-01,NA
2011-06-09,2,SOIL,C,M,AFTER,2,14.6,4.54E+01,7.54E-01,1.29E+03,NA,1.66E+02,1.00E+00,1.57E+00,NA,NA
2011-06-09,2,SOIL,D,M,AFTER,2,14.6,2.13E+01,8.28E-01,5.22E+02,1.59E+01,7.82E+01,1.10E+00,6.34E-01,2.49E-02,1.15E+02
2011-06-09,3,SOIL,C,M,AFTER,2,14.2,8.52E+01,9.48E+00,9.44E+02,3.83E+02,3.13E+02,1.26E+01,1.15E+00,6.02E-01,8.11E+02
2011-06-09,3,SOIL,D,M,AFTER,2,14.2,2.67E+01,6.66E+00,2.51E+02,3.06E+01,9.79E+01,8.88E+00,3.05E-01,4.81E-02,3.35E+02
2011-06-09,4,SAND,C,M,AFTER,2,15.0,1.97E+02,NA,3.27E+02,1.41E+03,7.21E+02,NA,3.97E-01,2.22E+00,NA
2011-06-09,4,SAND,D,M,AFTER,2,15.0,2.03E+02,8.60E-01,8.15E+02,1.05E+03,7.44E+02,1.15E+00,9.90E-01,1.66E+00,1.27E+03
2011-06-09,5,SAND,D,M,AFTER,2,14.6,2.23E+02,3.23E-02,NA,2.72E+02,8.17E+02,4.30E-02,NA,4.28E-01,NA
2011-06-09,6,SAND,C,M,AFTER,2,14.8,1.63E+02,1.27E-01,2.35E+02,2.45E+03,5.97E+02,1.69E-01,2.85E-01,3.86E+00,1.75E+03
2011-06-09,6,SAND,D,M,AFTER,2,14.6,1.99E+02,7.93E-01,1.32E+03,4.49E+02,7.28E+02,1.06E+00,1.60E+00,7.05E-01,9.69E+02
2011-06-09,7,BARK,C,M,AFTER,2,14.9,2.71E+02,3.99E+01,NA,2.92E+03,9.94E+02,5.32E+01,NA,4.60E+00,NA
2011-06-09,7,BARK,D,M,AFTER,2,14.6,5.23E+02,3.08E+00,NA,5.65E+03,1.92E+03,4.11E+00,NA,8.88E+00,NA
2011-06-09,8,BARK,C,M,AFTER,2,14.4,4.75E+02,2.36E+01,NA,2.53E+03,1.74E+03,3.15E+01,NA,3.98E+00,NA
2011-06-09,8,BARK,D,M,AFTER,2,14.2,4.73E+02,2.26E+01,NA,5.83E+03,1.73E+03,3.01E+01,NA,9.16E+00,NA
2011-06-09,9,BARK,C,M,AFTER,2,14.6,3.85E+02,2.45E+00,NA,2.80E+02,1.41E+03,3.26E+00,NA,4.40E-01,NA
2011-06-09,9,BARK,D,M,AFTER,2,14.4,4.67E+02,8.16E+00,1.90E+02,1.30E+04,1.71E+03,1.09E+01,2.31E-01,2.04E+01,8.06E+03
2011-06-20,2,SOIL,B,M,AFTER,4,21.3,1.63E+02,NA,1.17E+03,1.13E+02,5.97E+02,NA,1.42E+00,1.77E-01,NA
2011-06-20,2,SOIL,A,A,AFTER,4,22.7,1.70E+02,NA,8.49E+02,5.11E+01,6.23E+02,NA,1.03E+00,8.02E-02,NA
2011-06-20,3,SOIL,A,M,AFTER,4,18.7,1.05E+02,NA,2.79E+02,1.28E+02,3.86E+02,NA,3.39E-01,2.02E-01,NA
2011-06-20,3,SOIL,B,M,AFTER,4,18.7,2.02E+02,NA,2.33E+02,8.74E+01,7.42E+02,NA,2.83E-01,1.37E-01,NA
2011-06-20,3,SOIL,A,A,AFTER,4,20.7,1.80E+02,NA,3.18E+02,1.36E+02,6.61E+02,NA,3.86E-01,2.14E-01,NA
2011-06-20,5,SAND,A,M,AFTER,4,18.3,1.11E+02,2.49E+01,1.10E+03,1.29E+02,4.07E+02,3.32E+01,1.33E+00,2.03E-01,1.30E+03
2011-06-20,5,SAND,B,M,AFTER,4,22.3,1.54E+02,3.91E+00,NA,5.00E+02,5.65E+02,5.21E+00,NA,7.86E-01,NA
2011-06-20,5,SAND,A,A,AFTER,4,21.8,3.09E+02,6.18E+01,2.56E+02,3.73E+02,1.13E+03,8.24E+01,3.11E-01,5.85E-01,3.37E+03
2011-06-20,6,SAND,A,M,AFTER,4,20.4,1.60E+02,NA,NA,6.69E+01,5.87E+02,NA,NA,1.05E-01,NA
2011-06-20,6,SAND,A,A,AFTER,4,20.9,1.57E+02,1.53E+01,4.79E+02,6.32E+01,5.75E+02,2.04E+01,5.81E-01,9.93E-02,1.12E+03
2011-06-20,7,BARK,B,M,AFTER,4,21.3,3.32E+02,NA,NA,4.04E+02,1.22E+03,NA,NA,6.35E-01,NA
2011-06-20,7,BARK,A,A,AFTER,4,22.6,2.55E+02,NA,NA,1.46E+03,9.35E+02,NA,NA,2.30E+00,NA
2011-06-20,8,BARK,A,M,AFTER,4,18.4,2.71E+02,2.96E+00,NA,2.11E+01,9.95E+02,3.94E+00,NA,3.31E-02,NA
2011-06-20,8,BARK,B,M,AFTER,4,22.6,5.77E+02,7.44E+01,NA,7.79E+02,2.12E+03,9.92E+01,NA,1.22E+00,NA
2011-06-20,8,BARK,A,A,AFTER,4,20.9,4.26E+02,4.81E+00,NA,6.39E+01,1.56E+03,6.41E+00,NA,1.00E-01,NA
2011-06-20,9,BARK,A,A,AFTER,4,21.2,3.28E+02,NA,NA,5.77E+02,1.20E+03,NA,NA,9.07E-01,NA
2011-06-21,1,SOIL,B,A,AFTER,5,20.2,1.41E+02,NA,4.74E+02,1.67E+03,5.18E+02,NA,5.75E-01,2.63E+00,NA
2011-06-21,1,SOIL,C,M,AFTER,5,27.5,2.01E+02,NA,3.44E+02,9.49E+02,7.36E+02,NA,4.18E-01,1.49E+00,NA
2011-06-21,2,SOIL,C,M,AFTER,5,27.4,NA,NA,4.70E+02,2.85E+03,NA,NA,5.70E-01,4.47E+00,NA
2011-06-21,2,SOIL,C,M,AFTER,5,28.0,7.51E+01,NA,6.21E+02,3.21E+02,2.76E+02,NA,7.54E-01,5.04E-01,NA
2011-06-21,2,SOIL,D,M,AFTER,5,27.8,4.94E+01,NA,9.34E+01,1.10E+02,1.81E+02,NA,1.13E-01,1.72E-01,NA
2011-06-21,3,SOIL,B,A,AFTER,5,23.7,2.88E+02,NA,5.18E+02,3.07E+02,1.05E+03,NA,6.29E-01,4.83E-01,NA
2011-06-21,4,SAND,B,A,AFTER,5,20.5,8.10E+01,4.88E+00,NA,9.56E+01,2.97E+02,6.51E+00,NA,1.50E-01,NA
2011-06-21,4,SAND,C,M,AFTER,5,28.0,1.43E+02,5.50E+00,3.12E+01,1.14E+02,5.24E+02,7.33E+00,3.79E-02,1.79E-01,7.61E+02
2011-06-21,4,SAND,D,M,AFTER,5,29.1,6.48E+02,3.53E+01,5.80E+02,1.98E+02,2.38E+03,4.71E+01,7.04E-01,3.11E-01,3.65E+03
2011-06-21,5,SAND,C,M,AFTER,5,26.8,2.45E+02,9.91E+00,NA,3.50E+01,8.97E+02,1.32E+01,NA,5.50E-02,NA
2011-06-21,5,SAND,C,M,AFTER,5,27.8,1.84E+02,1.06E+01,7.78E+01,6.28E+01,6.75E+02,1.41E+01,9.44E-02,9.86E-02,1.06E+03
2011-06-21,5,SAND,D,M,AFTER,5,28.2,3.39E+02,9.19E+00,3.26E+02,3.81E+01,1.24E+03,1.23E+01,3.96E-01,5.99E-02,1.57E+03
2011-06-21,6,SAND,C,M,AFTER,5,27.6,4.08E+02,5.26E+01,2.49E+02,4.82E+02,1.50E+03,7.01E+01,3.02E-01,7.57E-01,3.48E+03
2011-06-21,6,SAND,D,M,AFTER,5,28.2,3.50E+02,1.50E+01,1.25E+03,1.69E+02,1.28E+03,2.00E+01,1.51E+00,2.66E-01,1.87E+03
2011-06-21,7,BARK,B,A,AFTER,5,21.8,3.02E+02,NA,NA,1.68E+03,1.11E+03,NA,NA,2.64E+00,NA
2011-06-21,8,BARK,B,A,AFTER,5,22.0,5.35E+02,7.99E+01,NA,9.55E+02,1.96E+03,1.07E+02,NA,1.50E+00,NA
2011-06-21,8,BARK,C,M,AFTER,5,28.4,8.96E+02,9.93E+00,NA,NA,3.28E+03,1.32E+01,NA,NA,NA
2011-06-21,9,BARK,C,M,AFTER,5,27.6,1.22E+02,NA,NA,2.20E+02,4.48E+02,NA,NA,3.46E-01,NA
2011-06-24,1,SOIL,C,A,AFTER,8,17.4,8.26E+01,NA,2.05E+02,2.71E+02,3.03E+02,NA,2.49E-01,4.26E-01,NA
2011-06-24,1,SOIL,D,A,AFTER,8,17.6,1.78E+02,NA,3.23E+02,4.54E+02,6.51E+02,NA,3.92E-01,7.13E-01,NA
2011-06-24,2,SOIL,D,A,AFTER,8,18.9,1.40E+02,NA,NA,1.29E+02,5.12E+02,NA,NA,2.03E-01,NA
2011-06-24,4,SAND,C,A,AFTER,8,18.4,7.62E+01,1.52E+01,1.87E+01,5.17E+01,2.79E+02,2.02E+01,2.27E-02,8.12E-02,8.10E+02
2011-06-24,4,SAND,D,A,AFTER,8,18.4,1.21E+02,1.44E+01,5.55E+02,2.52E+01,4.42E+02,1.92E+01,6.74E-01,3.96E-02,9.36E+02
2011-06-24,5,SAND,C,A,AFTER,8,18.6,7.61E+01,2.67E+00,NA,NA,2.79E+02,3.56E+00,NA,NA,NA
2011-06-24,6,SAND,C,A,AFTER,8,19.7,1.90E+02,NA,9.73E+02,4.60E+01,6.95E+02,NA,1.18E+00,7.24E-02,NA
2011-06-24,6,SAND,D,A,AFTER,8,19.9,1.31E+02,1.34E+01,5.63E+01,5.68E+01,4.79E+02,1.79E+01,6.84E-02,8.92E-02,9.53E+02
2011-06-24,7,BARK,C,A,AFTER,8,18.3,4.32E+02,4.63E+00,NA,6.36E+01,1.58E+03,6.17E+00,NA,9.99E-02,NA
2011-06-24,7,BARK,D,A,AFTER,8,18.6,1.49E+02,5.68E+00,NA,NA,5.47E+02,7.57E+00,NA,NA,NA
2011-06-24,8,BARK,C,A,AFTER,8,18.5,5.59E+02,3.58E+00,NA,4.20E+01,2.05E+03,4.77E+00,NA,6.61E-02,NA
2011-06-24,8,BARK,D,A,AFTER,8,18.5,3.43E+02,NA,7.68E+02,1.43E+03,1.26E+03,NA,9.32E-01,2.24E+00,NA
2011-06-24,9,BARK,C,A,AFTER,8,19.8,2.65E+02,NA,NA,4.34E+01,9.72E+02,NA,NA,6.81E-02,NA
2011-06-24,9,BARK,D,A,AFTER,8,19.7,5.12E+02,2.14E+01,NA,1.63E+01,1.88E+03,2.86E+01,NA,2.56E-02,NA
2011-07-12,1,SOIL,A,M,BEFORE,26,22.6,2.91E+02,2.31E+00,NA,7.46E+02,1.07E+03,3.09E+00,NA,1.17E+00,NA
2011-07-12,1,SOIL,B,M,BEFORE,26,22.9,2.80E+02,8.66E+00,NA,3.45E+02,1.03E+03,1.15E+01,NA,5.42E-01,NA
2011-07-12,1,SOIL,A,A,BEFORE,26,26.5,NA,2.47E+00,NA,1.10E+02,NA,3.29E+00,NA,1.73E-01,NA
2011-07-12,1,SOIL,B,A,BEFORE,26,26.9,NA,9.18E+00,NA,1.58E+02,NA,1.22E+01,NA,2.48E-01,NA
2011-07-12,2,SOIL,A,M,BEFORE,26,25.1,5.34E+02,NA,NA,1.91E+02,1.96E+03,NA,NA,3.00E-01,NA
2011-07-12,2,SOIL,A,A,BEFORE,26,25.8,NA,2.22E+01,NA,NA,NA,2.96E+01,NA,NA,NA
2011-07-12,2,SOIL,B,A,BEFORE,26,24.8,NA,6.05E+00,NA,4.35E+01,NA,8.06E+00,NA,6.83E-02,NA
2011-07-12,3,SOIL,A,M,BEFORE,26,26.0,NA,6.12E+00,1.20E+01,1.50E+02,NA,8.16E+00,1.46E-02,2.35E-01,NA
2011-07-12,3,SOIL,A,M,BEFORE,26,25.6,NA,6.97E+00,NA,2.05E+02,NA,9.30E+00,NA,3.22E-01,NA
2011-07-12,3,SOIL,B,M,BEFORE,26,26.1,7.27E+02,4.35E+00,NA,1.52E+03,2.66E+03,5.80E+00,NA,2.39E+00,NA
2011-07-12,3,SOIL,B,A,BEFORE,26,23.7,4.04E+02,7.91E+00,NA,1.49E+02,1.48E+03,1.05E+01,NA,2.34E-01,NA
2011-07-12,3,SOIL,B,A,BEFORE,26,23.7,3.89E+02,3.70E+00,NA,7.25E+02,1.43E+03,4.94E+00,NA,1.14E+00,NA
2011-07-12,4,SAND,A,M,BEFORE,26,23.4,7.25E+02,3.50E+00,NA,3.99E+02,2.66E+03,4.67E+00,NA,6.28E-01,NA
2011-07-12,4,SAND,A,M,BEFORE,26,23.7,8.59E+02,3.11E+00,NA,4.08E+02,3.15E+03,4.15E+00,NA,6.41E-01,NA
2011-07-12,4,SAND,B,M,BEFORE,26,24.1,3.88E+02,5.43E-01,NA,8.88E+01,1.42E+03,7.24E-01,NA,1.40E-01,NA
2011-07-12,4,SAND,A,A,BEFORE,26,25.7,NA,5.61E+00,NA,9.17E+02,NA,7.48E+00,NA,1.44E+00,NA
2011-07-12,4,SAND,B,A,BEFORE,26,26.5,NA,2.01E+00,NA,8.57E+02,NA,2.69E+00,NA,1.35E+00,NA
2011-07-12,5,SAND,A,M,BEFORE,26,25.2,7.23E+02,5.05E-01,NA,5.74E+01,2.65E+03,6.73E-01,NA,9.03E-02,NA
2011-07-12,5,SAND,A,A,BEFORE,26,25.2,NA,7.18E-01,NA,2.64E+02,NA,9.58E-01,NA,4.16E-01,NA
2011-07-12,5,SAND,B,A,BEFORE,26,24.7,NA,2.18E+00,NA,8.43E+02,NA,2.91E+00,NA,1.32E+00,NA
2011-07-12,6,SAND,A,M,BEFORE,26,26.2,NA,2.88E+00,NA,6.65E+02,NA,3.84E+00,NA,1.05E+00,NA
2011-07-12,6,SAND,B,M,BEFORE,26,26.3,NA,4.97E+00,NA,1.06E+03,NA,6.62E+00,NA,1.67E+00,NA
2011-07-12,6,SAND,A,A,BEFORE,26,23.4,1.39E+03,4.76E+00,NA,1.61E+03,5.11E+03,6.34E+00,NA,2.53E+00,NA
2011-07-12,6,SAND,B,A,BEFORE,26,23.5,1.19E+03,4.13E+00,NA,1.55E+03,4.35E+03,5.50E+00,NA,2.43E+00,NA
2011-07-12,7,BARK,A,M,BEFORE,26,24.7,7.71E+02,5.53E+00,NA,1.19E+02,2.83E+03,7.37E+00,NA,1.86E-01,NA
2011-07-12,7,BARK,B,M,BEFORE,26,24.8,NA,5.70E+00,NA,1.69E+03,NA,7.60E+00,NA,2.66E+00,NA
